vehicle_id,brand_repair_cost,model_reliability,powertrain_complexity,electronics_complexity,known_failure_points,luxury_parts_cost,hybrid_ev_components,claims_likelihood,reference_total,source_type,confidence,notes
1,20,15,25,30,15,10,0,20,18,estimated,medium,Toyota Camry - top reliability low repair cost
2,22,18,30,32,20,12,0,22,20,estimated,medium,Honda Accord - 1.5T turbo adds minor complexity
3,45,45,45,45,45,35,10,45,38,estimated,medium,Ford F-150 - EcoBoost turbo options raise complexity
4,48,48,45,45,48,35,5,48,40,estimated,medium,Chevrolet Silverado - fullsize truck wear
5,22,18,28,35,20,12,10,22,21,estimated,medium,Toyota RAV4 - hybrid option present in lineup
6,24,20,35,35,28,14,8,25,23,estimated,medium,Honda CR-V - 1.5T oil dilution history
7,65,85,60,70,80,55,15,78,60,estimated,medium,Jeep Grand Cherokee - CR last place; electrical/drive issues
8,60,70,65,55,60,50,0,65,52,estimated,medium,Dodge Charger - V8 performance domestic
9,85,55,70,80,70,90,5,72,62,estimated,medium,BMW 3 Series - luxury European parts/electronics
10,88,58,72,85,72,92,5,75,65,estimated,medium,Mercedes-Benz C-Class - highest luxury parts severity
11,70,45,40,95,55,75,90,58,57,estimated,medium,Tesla Model 3 - EV high-tech electronics dominate
12,30,35,35,35,40,15,0,35,29,estimated,medium,Hyundai Elantra - economy; Theta engine history
13,35,30,40,45,35,30,0,35,31,estimated,medium,Kia Telluride - popular midsize SUV
14,38,50,45,35,55,18,0,48,36,estimated,medium,Nissan Altima - CVT failure history
15,40,30,45,40,42,25,0,38,32,estimated,medium,Subaru Outback - AWD/boxer; head gasket history
